topic,neutral,slanted
raw_milk,raw milk impact,raw milk bacteria dangers
raw_milk,unpasteurized milk research,raw milk food poisoning
soy,soy health effects,soy estrogen effects
soy,tofu nutrition research,soy thyroid problems
soy,soy protein safety,gmo soy dangers
dairy,dairy calcium consumptin facts,milk hormone concerns
dairy,cheese nutrition research,dairy lactose intolerance
dairy,yogurt probiotic health impact,raw dairy risks
eggs,egg cholesterol safety,egg heart disease risk
eggs,egg protein consumption,salmonella egg dangers
eggs,pasteurized eggs research,raw egg safety
sugar,sugar consumption effects,sugar addiction risks
sugar,added sugar guidelines,high fructose corn syrup dangers
sugar,natural sugar vs processed,artificial sweeteners cancer
salt,sodium intake guidelines,salt hypertension risk
salt,iodized salt diet,sea salt heavy metals
salt,low sodium diet research,salt heart disease
caffeine,caffeine health impact,caffeine anxiety risks
caffeine,coffee antioxidant research,energy drink dangers
caffeine,tea health effects,caffeine addiction
alcohol,moderate alcohol consumption health impact,alcohol liver disease risk
alcohol,wine heart health,binge drinking dangers
alcohol,beer nutrition research,alcohol cancer risk
fast_food,food safety regulations,fast food obesity
fast_food,restaurant calorie labeling,food additive dangers
fast_food,food processing research,fast food antibiotic meat
organic_food,organic food diet facts,organic food scam
organic_food,organic produce safety,organic farming pesticides
tap_water,tap water safety,lead in tap water
tap_water,water quality regulations,chlorine water dangers
tap_water,fluoridated water consumption,water contamination risks
bottled_water,bottled water convenience,plastic bottle pollution
bottled_water,spring water consumption health impact,bottled water bacteria
bottled_water,mineral water research,phthalate leaching
mining,mining safety regulations,mining environmental damage
mining,coal mining technology,mountaintop removal dangers
mining,gold mining economic impact,mercury pollution gold mining
deforestation,forest conservation effects,deforestation climate impact
deforestation,rainforest protection research,palm oil deforestation
deforestation,reforestation projects,illegal logging
overfishing,sustainable fishing practices,overfishing ocean collapse
overfishing,fisheries management research,bycatch dolphin deaths
overfishing,aquaculture data,fish farm pollution
poverty,welfare program effectiveness,poverty cycle
poverty,minimum wage economical impact,welfare dependency
poverty,universal basic income research,poverty traps
education,public school data,common core failures
education,charter school research,school voucher controversy
education,online learning effectiveness,student loan debt crisis
healthcare,universal healthcare facts,medicare for all costs
healthcare,private insurance research,obamacare failures
healthcare,healthcare reform,insurance coverage gaps
cloning,animal cloning impact,human cloning ethics
cloning,reproductive cloning research,therapeutic cloning debate
cloning,cloning endangered species,clone farming
gene_editing,crispr gene therapy,gene editing ethics
gene_editing,crispr cas9 research,genetic modification dangers
gene_editing,gene drive technology,designer babies
cybersecurity,encryption security,government backdoors
cybersecurity,cyber threat intelligence,hacking vulnerabilities
cybersecurity,data breach prevention,ransomware attacks
social_credit,digital identity impact,social credit system
social_credit,citizen scoring research,government surveillance
social_credit,trustworthiness rating,privacy concerns
quantum_computing,quantum encryption research,quantum decryption threat
quantum_computing,quantum machine learning,quantum computer hacking
quantum_computing,post quantum cryptography,quantum supremacy
space_exploration,space research data,space junk
space_exploration,mars colonization,space tourism risks
space_exploration,international space station,asteroid mining ethics
space_exploration,space debris mitigation,space weaponization
immigration,immigration data,immigration threath
immigration,poulation growth,overpopulation
Job_security,unemployment rate data,unemployment rise
Job_security,unemployment projection related to Ai data,Ai taking over jobs
